timestamp,day_of_week,hour,vehicle_count,traffic_volume,weather_condition,temperature,humidity,precipitation,accident_count,location_latitude,location_longitude,road_type,congestion_level
2023-03-01 19:00:00,2,19,3900,3700,Thunderstorm,12,60,10,19,-52.1231,-76.3517,Rural Road,Severe
2023-03-01 20:00:00,2,20,4000,3800,Heavy Rain,10,70,15,20,-54.4567,-77.6782,Highway,Severe
2023-03-16 10:00:00,4,10,2200,2000,Clear,15,30,0,5,-38.1231,-65.3517,Main Road,Low
2023-03-16 11:00:00,4,11,2300,2100,Partly Cloudy,18,40,0,6,-36.4567,-67.6782,Residential Street,Moderate
2023-03-16 12:00:00,4,12,2400,2200,Overcast,12,50,0,7,-34.1231,-69.3517,Alley,High
2023-03-16 13:00:00,4,13,2500,2300,Rain,10,60,5,8,-32.4567,-71.6782,Rural Road,Severe
2023-03-16 14:00:00,4,14,2600,2400,Fog,8,70,0,9,-30.1231,-73.3517,Highway,Severe
2023-03-16 15:00:00,4,15,2700,2500,Thunderstorm,12,50,10,10,-28.4567,-75.6782,Residential Street,Severe
2023-03-16 16:00:00,4,16,2800,2600,Heavy Rain,10,70,15,11,-26.1231,-77.3517,Alley,Severe
2023-03-16 17:00:00,4,17,2900,2700,Clear,15,30,0,12,-24.4567,-79.6782,Rural Road,Low
2023-03-16 18:00:00,4,18,3000,2800,Partly Cloudy,18,40,0,13,-22.1231,-81.3517,Highway,Moderate
2023-03-16 19:00:00,4,19,3100,2900,Overcast,12,50,0,14,-20.4567,-83.6782,Residential Street,High
2023-03-16 20:00:00,4,20,3200,3000,Rain,10,60,5,15,-18.1231,-85.3517,Alley,Severe
2023-03-17 00:00:00,5,0,1800,1600,Fog,8,70,0,1,-16.4567,-87.6782,Highway,Severe
2023-03-17 01:00:00,5,1,1900,1700,Thunderstorm,12,50,10,2,-14.1231,-89.3517,Residential Street,Severe
2023-03-17 02:00:00,5,2,2000,1800,Heavy Rain,10,70,15,3,-12.4567,-91.6782,Alley,Severe
2023-03-17 03:00:00,5,3,2100,1900,Clear,15,30,0,4,-10.1231,-93.3517,Rural Road,Low
2023-03-17 04:00:00,5,4,2200,2000,Partly Cloudy,18,40,0,5,-8.4567,-95.6782,Highway,Moderate
2023-03-17 05:00:00,5,5,2300,2100,Overcast,12,50,0,6,-6.1231,-97.3517,Residential Street,High
2023-03-17 06:00:00,5,6,2400,2200,Rain,10,60,5,7,-4.4567,-99.6782,Alley,Severe
2023-03-17 07:00:00,5,7,2500,2300,Fog,8,70,0,8,-2.1231,-101.3517,Highway,Severe
2023-03-17 08:00:00,5,8,2600,2400,Thunderstorm,12,50,10,9,-0.4567,-103.6782,Residential Street,Severe
2023-03-17 09:00:00,5,9,2700,2500,Heavy Rain,10,70,15,10,0.1231,-105.3517,Alley,Severe
2023-03-18 02:00:00,6,2,3000,2800,Partly Cloudy,18,40,0,11,-6.1231,-93.3517,Highway,Moderate
2023-03-18 03:00:00,6,3,3100,2900,Clear,15,30,0,12,-4.4567,-95.6782,Rural Road,Low
2023-03-18 04:00:00,6,4,3200,3000,Overcast,12,50,0,13,-2.1231,-97.3517,Residential Street,High
2023-03-18 05:00:00,6,5,3300,3100,Rain,10,60,5,14,-0.4567,-99.6782,Alley,Severe
2023-03-18 06:00:00,6,6,3400,3200,Fog,8,70,0,15,0.1231,-101.3517,Highway,Severe
2023-03-18 07:00:00,6,7,3500,3300,Thunderstorm,12,50,10,16,2.1231,-103.6782,Residential Street,Severe
2023-03-18 08:00:00,6,8,3600,3400,Heavy Rain,10,70,15,17,4.4567,-105.3517,Alley,Severe
2023-03-18 09:00:00,6,9,3700,3500,Partly Cloudy,18,40,0,18,6.1231,-107.3517,Highway,Moderate
2023-03-18 10:00:00,6,10,3800,3600,Clear,15,30,0,19,8.4567,-109.6782,Rural Road,Low
2023-03-18 11:00:00,6,11,3900,3700,Overcast,12,50,0,20,10.1231,-111.3517,Residential Street,High
2023-03-18 12:00:00,6,12,4000,3800,Rain,10,60,5,21,12.4567,-113.6782,Alley,Severe
2023-03-18 13:00:00,6,13,4100,3900,Fog,8,70,0,22,14.1231,-115.3517,Highway,Severe
2023-03-18 14:00:00,6,14,4200,4000,Thunderstorm,12,50,10,23,16.4567,-117.6782,Residential Street,Severe
2023-03-18 15:00:00,6,15,4300,4100,Heavy Rain,10,70,15,24,18.1231,-119.3517,Alley,Severe
2023-03-18 16:00:00,6,16,4400,4200,Partly Cloudy,18,40,0,25,20.4567,-121.6782,Highway,Moderate
2023-03-18 17:00:00,6,17,4500,4300,Clear,15,30,0,26,22.1231,-123.3517,Rural Road,Low
2023-03-18 18:00:00,6,18,4600,4400,Overcast,12,50,0,27,24.4567,-125.6782,Residential Street,High
2023-03-18 19:00:00,6,19,4700,4500,Rain,10,60,5,28,26.1231,-127.3517,Alley,Severe
2023-03-18 20:00:00,6,20,4800,4600,Fog,8,70,0,29,28.4567,-129.6782,Highway,Severe
2023-03-18 21:00:00,6,21,4900,4700,Thunderstorm,12,50,10,30,30.1231,-131.3517,Residential Street,Severe
2023-03-18 22:00:00,6,22,5000,4800,Heavy Rain,10,70,15,31,32.4567,-133.6782,Alley,Severe
